Landmark,lat,long,score,link
"Nebraska State Capitol",40.808181,-96.699809,0.42043427,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2017-07-26_BXBbbRDnnYb.jpg
"Henry Doorly Zoo and Aquarium",41.225747,-95.927735,0.85478258,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2018-05-23_BjHyH-NFtDC.jpg
"British Museum",51.518,-0.12711524963378906,0.29358786,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2018-05-23_BjHyH-NFtDC.jpg
"Museum of Fine Arts, Boston",42.339402,-71.094182,0.24311438,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2016-08-09_BI5N9r4gMm2.jpg
"Scotts Bluff National Monument",41.837339,-103.66499999999999,0.65634769,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2018-10-01_BoZSfl7H3Mc.jpg
"Carhenge",42.14208693993462,-102.858037,0.24978383,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2016-07-31_BIjHKD7guRZ.jpg
"Lac Gentau",42.848786,-0.490779,0.38945994,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2015-06-29_4hAe6jPU6a.jpg
"Eagle Rock",41.829217,-103.708405,0.26890153,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2017-10-30_Ba4dapzHIGI.jpg
"Old Market",41.25554,-95.930386,0.61735994,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2016-03-21_BDPN-q7PU7v.jpg
"Chimney Rock National Historic Site",41.715267,-103.331844,0.47073278,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2018-05-08_BihkjKOj0pu.jpg
"Eagle Rock",41.829217,-103.708405,0.61566979,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2015-05-26_3JhrrSPUxE.jpg
"Scotts Bluff National Monument",41.834916,-103.70430900000001,0.75571412,https://storage.googleapis.com/cloud-vision-instagram/visit_nebraska/2018-04-23_Bh7fIccHgZm.jpg
